Country,ConvertedCompYearly,RemoteWork,YearsCodePro,Employment,LanguageHaveWorkedWith,AISelect,SalaryCategory,ExperienceLevel
Brazil,21819.0,Remote,8,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,35806.0,Remote,24,"Employed, full-time",C#;C++;HTML/CSS;JavaScript;Kotlin;PHP;Python;R;Ruby;SQL;TypeScript,Yes,Medium,Senior
Colombia,45420.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,Yes,Medium,Senior
Brazil,27973.0,In-person,12,"Employed, full-time",Java;SQL,"No, but I plan to soon",Medium,Senior
Argentina,30000.0,Remote,6,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Solidity;TypeScript,Yes,Medium,Semi Senior
Mexico,64691.0,Remote,10,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,"No, but I plan to soon",High,Senior
Peru,17428.0,Remote,8,"Employed, full-time",C#;Java;JavaScript;SQL;TypeScript,"No, and I don't plan to",Low,Senior
Mexico,103505.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Clojure;Dart;Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Yes,High,Semi Senior
Brazil,46622.0,Remote,13,"Employed, full-time",Bash/Shell (all shells);Java;JavaScript;PHP;SQL;TypeScript,Yes,Medium,Senior
Mexico,20378.0,Remote,4,"Employed, full-time",HTML/CSS;Java;JavaScript;SQL;TypeScript,Yes,Medium,Semi Senior
Colombia,1262.0,Remote,3,"Employed, full-time",HTML/CSS;Java;JavaScript;SQL,Yes,Low,Semi Senior
Chile,14662.0,"Hybrid (some remote, some in-person)",1,"Employed, full-time",HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Low,Junior
Brazil,1865.0,Remote,3,"Independent contractor, freelancer, or self-employed;Student, part-time",Bash/Shell (all shells);C;Haskell;HTML/CSS;Rust,"No, and I don't plan to",Low,Semi Senior
Colombia,100934.0,Remote,8,"Employed, full-time",,Yes,High,Senior
Brazil,22378.0,In-person,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Python;Ruby;TypeScript,"No, and I don't plan to",Medium,Senior
Argentina,6651.0,In-person,19,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;SQL,"No, and I don't plan to",Low,Senior
Brazil,20514.0,In-person,24,"Employed, full-time",C;C++;Delphi;JavaScript,Yes,Medium,Senior
Brazil,7832.0,In-person,1,"Employed, full-time;Student, part-time",Java;JavaScript;TypeScript,Yes,Low,Junior
Argentina,14411.0,"Hybrid (some remote, some in-person)",10,"Employed, full-time",Python,"No, but I plan to soon",Low,Senior
Brazil,35433.0,"Hybrid (some remote, some in-person)",15,"Employed, full-time",Bash/Shell (all shells);C#;SQL,"No, but I plan to soon",Medium,Senior
Brazil,22378.0,Remote,13,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;PowerShell;SQL,Yes,Medium,Senior
Brazil,12308.0,"Hybrid (some remote, some in-person)",20,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Senior
Brazil,13054.0,In-person,20,"Employed, full-time",Bash/Shell (all shells);Dart;Delphi;Java;JavaScript;Kotlin;PHP;SQL,Yes,Low,Senior
Brazil,9324.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",C#;SQL,"No, and I don't plan to",Low,Semi Senior
Brazil,108163.0,Remote,9,"Employed, full-time",Java;Kotlin,Yes,High,Senior
Argentina,42300.0,Remote,7,"Employed, full-time",Java;SQL,Yes,Medium,Senior
Brazil,3294.0,In-person,1,"Employed, part-time",JavaScript;PHP;SQL;TypeScript,Yes,Low,Junior
Brazil,84000.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;Java;SQL;TypeScript,Yes,High,Senior
Brazil,18182.0,Remote,6,"Employed, full-time",JavaScript;PHP;Python;SQL;TypeScript,"No, but I plan to soon",Low,Semi Senior
Brazil,104005.0,Remote,14,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL;TypeScript,"No, and I don't plan to",High,Senior
Argentina,60000.0,Remote,24,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript,"No, and I don't plan to",High,Senior
Colombia,42653.0,Remote,26,"Employed, full-time",Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;SQL,Yes,Medium,Senior
Brazil,9324.0,Remote,3,"Employed, full-time",Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"No, but I plan to soon",Low,Semi Senior
Uruguay,43692.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;PowerShell;Prolog;Python;SQL,Yes,Medium,Senior
Brazil,5595.0,Remote,4,"Employed, full-time",JavaScript;TypeScript,Yes,Low,Semi Senior
Brazil,35433.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",Bash/Shell (all shells);C;Java;JavaScript;Python,Yes,Medium,Semi Senior
Brazil,80000.0,Remote,10,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Go;HTML/CSS;Python;TypeScript,"No, and I don't plan to",High,Senior
Brazil,14919.0,Remote,3,"Employed, full-time",Bash/Shell (all shells);C;C++;HTML/CSS;Java;SQL;TypeScript,"No, and I don't plan to",Low,Semi Senior
Colombia,10093.0,Remote,7,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Low,Senior
Brazil,23945.0,Remote,2,"Employed, full-time",Bash/Shell (all shells);Java;PowerShell;Python;SQL,Yes,Medium,Junior
Argentina,130593.0,Remote,18,"Employed, full-time",Go;HTML/CSS;JavaScript;Ruby;TypeScript,Yes,High,Senior
Brazil,28533.0,Remote,7,"Employed, full-time",GDScript;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Medium,Senior
Colombia,90000.0,Remote,22,"Employed, full-time",Java;JavaScript;Python;Ruby;SQL;TypeScript,"No, and I don't plan to",High,Senior
Peru,30367.0,Remote,20,"Employed, full-time;Independent contractor, freelancer, or self-employed",Haskell;Java;JavaScript;TypeScript,Yes,Medium,Senior
Mexico,43127.0,Remote,10,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Medium,Senior
Brazil,91379.0,Remote,8,"Employed, full-time",Elixir;SQL,"No, and I don't plan to",High,Senior
Colombia,14383.0,"Hybrid (some remote, some in-person)",2,"Employed, full-time",C#;Python,"No, and I don't plan to",Low,Junior
Argentina,14411.0,Remote,20,"Employed, full-time",Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Delphi;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),"No, and I don't plan to",Low,Senior
Brazil,16784.0,In-person,6,"Employed, full-time;Student, part-time",HTML/CSS;Java;JavaScript;PHP;SQL,"No, but I plan to soon",Low,Semi Senior
Brazil,27973.0,Remote,19,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,14919.0,Remote,4,"Employed, full-time;Student, part-time",C#;JavaScript;Python;SQL;TypeScript,Yes,Low,Semi Senior
Mexico,35041.0,Remote,3,"Employed, full-time",Haskell;HTML/CSS;Java;Python;TypeScript,Yes,Medium,Semi Senior
Mexico,30453.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,"No, and I don't plan to",Medium,Semi Senior
Mexico,64691.0,"Hybrid (some remote, some in-person)",10,"Employed, full-time",Bash/Shell (all shells);C;PowerShell;Python;SQL,"No, and I don't plan to",High,Senior
Mexico,12938.0,Remote,5,"Employed, full-time",C#;Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript,"No, and I don't plan to",Low,Semi Senior
Chile,58490.0,Remote,5,"Employed, full-time",Bash/Shell (all shells);Groovy;Java;Scala;SQL,Yes,Medium,Semi Senior
Brazil,15665.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,Yes,Low,Semi Senior
Chile,21663.0,Remote,4,"Employed, part-time",R,"No, and I don't plan to",Medium,Semi Senior
Brazil,22378.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Yes,Medium,Semi Senior
Brazil,93244.0,"Hybrid (some remote, some in-person)",32,"Employed, full-time",Bash/Shell (all shells);C#;F#;HTML/CSS;Python;SQL;VBA,"No, and I don't plan to",High,Senior
Brazil,7087.0,Remote,3,"Employed, full-time",C++;GDScript;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Yes,Low,Semi Senior
Chile,41160.0,Remote,4,"Employed, full-time",Python,"No, and I don't plan to",Medium,Semi Senior
Brazil,65271.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",C#;Go;JavaScript;Kotlin;SQL;Visual Basic (.Net),Yes,High,Senior
Brazil,60976.0,"Hybrid (some remote, some in-person)",20,"Employed, full-time",Bash/Shell (all shells);C#;JavaScript;PHP;PowerShell;Visual Basic (.Net),Yes,High,Senior
Brazil,47843.0,Remote,16,"Employed, full-time",Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,Medium,Senior
Mexico,12615.0,In-person,20,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;SQL,"No, but I plan to soon",Low,Senior
Mexico,58238.0,Remote,10,"Employed, full-time",Go;SQL;Swift,"No, and I don't plan to",Medium,Senior
Mexico,10782.0,Remote,3,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Semi Senior
Mexico,10243.0,In-person,19,"Employed, full-time",HTML/CSS;JavaScript;Python;Ruby;SQL,Yes,Low,Senior
Colombia,60560.0,Remote,21,"Independent contractor, freelancer, or self-employed",Dart;Kotlin,Yes,High,Senior
Brazil,130541.0,Remote,21,"Employed, full-time",JavaScript;TypeScript,"No, but I plan to soon",High,Senior
Argentina,55425.0,"Hybrid (some remote, some in-person)",16,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL;TypeScript,"No, and I don't plan to",Medium,Senior
Brazil,67135.0,Remote,23,"Employed, full-time",Bash/Shell (all shells);Groovy;Java;JavaScript;Lisp;SQL,Yes,High,Senior
Brazil,42892.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",C#;Java;JavaScript;Python;R;Scala;SQL;VBA,Yes,Medium,Senior
Mexico,52992.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,34687.0,Remote,12,"Employed, full-time",Go;JavaScript;Python;TypeScript,Yes,Medium,Senior
Brazil,44757.0,Remote,8,"Employed, full-time",Clojure;JavaScript,"No, but I plan to soon",Medium,Senior
Brazil,46622.0,Remote,27,"Employed, full-time",Bash/Shell (all shells);C;Go;Java;JavaScript,Yes,Medium,Senior
Brazil,8504.0,Remote,3,"Employed, full-time",C++;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,21633.0,"Hybrid (some remote, some in-person)",2,"Employed, full-time",Bash/Shell (all shells);C;Python;SQL,Yes,Medium,Junior
Brazil,7459.0,Remote,1,"Independent contractor, freelancer, or self-employed",C;C#;C++;HTML/CSS;Java;JavaScript;SQL,"No, and I don't plan to",Low,Junior
Mexico,64691.0,Remote,15,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);Dart;JavaScript;TypeScript,Yes,High,Senior
Mexico,26954.0,Remote,15,"Employed, part-time",C++;Dart;Python,"No, and I don't plan to",Medium,Senior
Brazil,111892.0,Remote,24,"Employed, full-time",JavaScript;Kotlin,Yes,High,Senior
Brazil,69373.0,Remote,17,"Employed, full-time",HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"No, and I don't plan to",High,Senior
Brazil,16739.0,"Hybrid (some remote, some in-person)",1,"Employed, full-time;Student, part-time",Bash/Shell (all shells);Cobol;Java;Ruby;Rust;SQL,"No, and I don't plan to",Low,Junior
Brazil,47554.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Senior
Brazil,19022.0,Remote,11,"Employed, full-time",Go;JavaScript;Python;Rust;TypeScript,Yes,Low,Senior
Colombia,66616.0,"Hybrid (some remote, some in-person)",18,"Employed, full-time",C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"No, but I plan to soon",High,Senior
Brazil,24243.0,Remote,5,"Employed, full-time",Dart;HTML/CSS;JavaScript;Kotlin;SQL;Swift;TypeScript,Yes,Medium,Semi Senior
Argentina,12000.0,Remote,3,"Employed, full-time;Student, full-time",Assembly;C;C++;GDScript;HTML/CSS;Java;JavaScript;MicroPython;SQL;TypeScript;VBA,Yes,Low,Semi Senior
Argentina,65000.0,Remote,10,"Employed, full-time",Dart;JavaScript;TypeScript,Yes,High,Senior
Mexico,129381.0,Remote,15,"Employed, full-time;Independent contractor, freelancer, or self-employed",C;Go;HTML/CSS;JavaScript;Rust;Solidity,Yes,High,Senior
Mexico,6469.0,In-person,4,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;Java;JavaScript;SQL;Swift,"No, and I don't plan to",Low,Semi Senior
Brazil,22378.0,Remote,4,"Employed, full-time",Dart;Kotlin;Python;TypeScript,"No, and I don't plan to",Medium,Semi Senior
Brazil,18649.0,Remote,25,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Yes,Low,Senior
Argentina,70000.0,Remote,13,"Employed, full-time",Elixir;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"No, and I don't plan to",High,Senior
Brazil,65271.0,In-person,10,"Employed, full-time",Bash/Shell (all shells);JavaScript;TypeScript,Yes,High,Senior
Mexico,21564.0,In-person,Less than 1 year,"Employed, full-time",C#;PHP;Python,Yes,Medium,Unknown
Argentina,55425.0,Remote,34,"Employed, full-time",C#;Python,"No, and I don't plan to",Medium,Senior
Brazil,5128.0,Remote,1,"Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C++;Elixir;JavaScript;Python;SQL,Yes,Low,Junior
Brazil,42333.0,Remote,20,"Employed, full-time",C;C++;Go;HTML/CSS;Java;Kotlin;Rust;SQL;TypeScript;Zig,"No, and I don't plan to",Medium,Senior
Brazil,105000.0,Remote,10,"Employed, full-time",Go;TypeScript,Yes,High,Senior
Brazil,26854.0,Remote,19,"Employed, full-time",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL,Yes,Medium,Senior
Brazil,11189.0,Remote,6,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Ruby;TypeScript,Yes,Low,Semi Senior
Brazil,93244.0,"Hybrid (some remote, some in-person)",34,"Employed, full-time;Employed, part-time",HTML/CSS;Java;JavaScript;Python;Rust;Solidity;SQL;Swift;TypeScript,Yes,High,Senior
Brazil,22378.0,Remote,25,"Employed, full-time",C#;JavaScript;PowerShell;SQL,"No, but I plan to soon",Medium,Senior
Brazil,46622.0,Remote,20,"Employed, full-time",HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Yes,Medium,Senior
Brazil,8000.0,In-person,2,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python;TypeScript,Yes,Low,Junior
Brazil,44757.0,"Hybrid (some remote, some in-person)",22,"Independent contractor, freelancer, or self-employed",Assembly;C;C++;Cobol;Java;JavaScript;Perl;PHP;SQL,"No, and I don't plan to",Medium,Senior
Peru,86000.0,"Hybrid (some remote, some in-person)",6,"Employed, full-time",JavaScript;Python;R;Scala;SQL;TypeScript,Yes,High,Semi Senior
Brazil,13875.0,Remote,4,"Employed, full-time",Python;SQL,Yes,Low,Semi Senior
Brazil,6714.0,In-person,3,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Semi Senior
Argentina,19500.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go;HTML/CSS;JavaScript;Lua;PHP;SQL,Yes,Low,Senior
Brazil,17903.0,Remote,6,"Employed, full-time",Java;JavaScript;PHP,"No, but I plan to soon",Low,Semi Senior
Colombia,19177.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",C;C++;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;PowerShell;Python;SQL;TypeScript,Yes,Low,Semi Senior
Brazil,3543.0,"Hybrid (some remote, some in-person)",2,"Employed, part-time",C++;Go;HTML/CSS;JavaScript;PHP;Python;TypeScript,Yes,Low,Junior
Peru,1901.0,Remote,4,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C#;C++;Cobol;HTML/CSS;Julia;MATLAB;MicroPython;PHP;PowerShell;Python;R;SQL;Swift,Yes,Low,Semi Senior
Brazil,18649.0,Remote,More than 50 years,"Independent contractor, freelancer, or self-employed",C#;Delphi;Kotlin,"No, but I plan to soon",Low,Unknown
Mexico,21564.0,In-person,6,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;R;Rust;SQL;VBA,Yes,Medium,Semi Senior
Brazil,1304.0,Remote,2,"Employed, full-time;Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Lua;Python;TypeScript,Yes,Low,Junior
Brazil,9697.0,Remote,3,"Employed, full-time",Bash/Shell (all shells);JavaScript;TypeScript,Yes,Low,Semi Senior
Brazil,33941.0,Remote,9,"Employed, full-time",Java;JavaScript;Kotlin;TypeScript,Yes,Medium,Senior
Brazil,80562.0,Remote,12,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;TypeScript,"No, and I don't plan to",High,Senior
Chile,32495.0,Remote,10,"Employed, full-time;Independent contractor, freelancer, or self-employed",Elixir;Go;JavaScript,"No, and I don't plan to",Medium,Senior
Brazil,69000.0,Remote,12,"Employed, full-time",HTML/CSS;Java;JavaScript;Kotlin;TypeScript,"No, and I don't plan to",High,Senior
Brazil,37297.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time",C#;Java;JavaScript;Objective-C,"No, but I plan to soon",Medium,Senior
Brazil,26854.0,Remote,3,"Independent contractor, freelancer, or self-employed",C#;Go;Java;JavaScript;PHP;Python;SQL,Yes,Medium,Semi Senior
Brazil,82000.0,Remote,17,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"No, but I plan to soon",High,Senior
Brazil,28197.0,Remote,8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Java;JavaScript;SQL;TypeScript,Yes,Medium,Senior
Brazil,16784.0,"Hybrid (some remote, some in-person)",15,"Employed, full-time",C#;SQL,"No, and I don't plan to",Low,Senior
Brazil,12588.0,"Hybrid (some remote, some in-person)",2,"Employed, full-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Junior
Chile,43326.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",C#;Groovy;HTML/CSS;JavaScript;Perl;PowerShell;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Argentina,20000.0,"Hybrid (some remote, some in-person)",2,"Employed, full-time",Bash/Shell (all shells);Go;Java;JavaScript;PHP;Python;Rust;Scala;SQL,Yes,Medium,Junior
Colombia,42392.0,Remote,14,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python,"No, but I plan to soon",Medium,Senior
Colombia,3936.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA,Yes,Low,Semi Senior
Brazil,20514.0,"Hybrid (some remote, some in-person)",15,"Independent contractor, freelancer, or self-employed",C#;JavaScript;PHP;Python;SQL,Yes,Medium,Senior
Brazil,16709.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time",Dart;HTML/CSS;Kotlin;SQL;Swift,Yes,Low,Semi Senior
Brazil,20514.0,Remote,18,"Independent contractor, freelancer, or self-employed",C#;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Senior
Brazil,9399.0,Remote,3,"Employed, full-time;Student, part-time",Bash/Shell (all shells);Python;SQL,Yes,Low,Semi Senior
Colombia,24224.0,Remote,Less than 1 year,"Employed, full-time",Dart;Java;JavaScript;Python;SQL;TypeScript,Yes,Medium,Unknown
Brazil,19208.0,Remote,14,"Employed, full-time;Independent contractor, freelancer, or self-employed",JavaScript;Python;SQL,Yes,Low,Senior
Chile,48092.0,Remote,28,"Employed, full-time",C#;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,27973.0,Remote,10,"Employed, full-time",HTML/CSS;JavaScript;PHP;PowerShell;SQL,Yes,Medium,Senior
Brazil,5595.0,"Hybrid (some remote, some in-person)",5,"Independent contractor, freelancer, or self-employed",C#;C++;Delphi;HTML/CSS;Java;PHP;SQL;Visual Basic (.Net),Yes,Low,Semi Senior
Brazil,5975.0,"Hybrid (some remote, some in-person)",Less than 1 year,"Student, part-time;Employed, part-time",HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Yes,Low,Unknown
Brazil,3730.0,In-person,5,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Semi Senior
Brazil,7693.0,In-person,2,"Employed, full-time",Dart;Java;SQL,Yes,Low,Junior
Mexico,12938.0,In-person,3,"Employed, full-time",Go;Java;JavaScript;TypeScript,Yes,Low,Semi Senior
Uruguay,92525.0,Remote,20,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Yes,High,Senior
Brazil,23274.0,"Hybrid (some remote, some in-person)",5,"Employed, full-time",HTML/CSS;JavaScript;Python;SQL,"No, but I plan to soon",Medium,Semi Senior
Brazil,23083.0,Remote,2,"Employed, full-time",C#;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Medium,Junior
Brazil,23311.0,"Hybrid (some remote, some in-person)",14,"Employed, full-time",C#;Delphi;HTML/CSS;Java;Scala;SQL,"No, but I plan to soon",Medium,Senior
Brazil,24616.0,Remote,20,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Brazil,16038.0,Remote,3,"Employed, full-time",Go;HTML/CSS;JavaScript;SQL;TypeScript,"No, but I plan to soon",Low,Semi Senior
Brazil,4662.0,In-person,2,"Employed, full-time",HTML/CSS;JavaScript;PHP;SQL,Yes,Low,Junior
Chile,38994.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time",Bash/Shell (all shells);Python;Rust;SQL,"No, but I plan to soon",Medium,Semi Senior
Mexico,2156.0,Remote,14,"Employed, full-time",Kotlin;Python;SQL;Swift;TypeScript,Yes,Low,Senior
Uruguay,120000.0,"Hybrid (some remote, some in-person)",18,"Employed, full-time",C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,Yes,High,Senior
Brazil,20364.0,"Hybrid (some remote, some in-person)",7,"Employed, full-time",Assembly;C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,"No, and I don't plan to",Medium,Senior
Brazil,18649.0,Remote,4,"Employed, full-time",JavaScript;TypeScript,Yes,Low,Semi Senior
Brazil,13987.0,In-person,13,"Employed, full-time",Dart;HTML/CSS;JavaScript;PHP;Python;SQL,"No, and I don't plan to",Low,Senior
Uruguay,26339.0,"Hybrid (some remote, some in-person)",3,"Employed, full-time;Student, part-time",HTML/CSS;Java;JavaScript;Python;SQL,Yes,Medium,Semi Senior
Mexico,32378.0,Remote,3,"Employed, full-time",JavaScript,Yes,Medium,Semi Senior
Brazil,6527.0,Remote,2,"Employed, full-time;Student, part-time",HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Junior
Uruguay,80000.0,Remote,11,"Employed, full-time",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Yes,High,Senior
Brazil,2797.0,"Hybrid (some remote, some in-person)",Less than 1 year,"Student, part-time;Employed, part-time",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Yes,Low,Unknown
Brazil,14546.0,Remote,3,"Employed, full-time",Python,Yes,Low,Semi Senior
Uruguay,110000.0,Remote,25,"Independent contractor, freelancer, or self-employed",JavaScript,"No, and I don't plan to",High,Senior
Brazil,6714.0,In-person,8,"Independent contractor, freelancer, or self-employed",Dart;JavaScript;SQL,Yes,Low,Senior
Brazil,15851.0,"Hybrid (some remote, some in-person)",22,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go;HTML/CSS;JavaScript;SQL;TypeScript,Yes,Low,Senior
Peru,112290.0,Remote,10,"Employed, full-time",HTML/CSS;JavaScript;Kotlin;Ruby;TypeScript,Yes,High,Senior
Colombia,13020.0,Remote,3,"Independent contractor, freelancer, or self-employed",JavaScript;TypeScript,Yes,Low,Semi Senior
Uruguay,180000.0,Remote,17,"Employed, full-time",C++;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Swift,"No, and I don't plan to",High,Senior
Brazil,8951.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);C;GDScript;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL,Yes,Low,Semi Senior
Brazil,138187.0,In-person,15,"Employed, full-time",Bash/Shell (all shells);Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Yes,High,Senior
Mexico,150000.0,Remote,9,"Employed, full-time;Independent contractor, freelancer, or self-employed",Go,Yes,High,Senior
Brazil,55946.0,In-person,,"Employed, full-time",R,Yes,Medium,Senior
Brazil,27973.0,Remote,4,"Employed, full-time;Student, part-time",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Yes,Medium,Semi Senior
Brazil,14770.0,In-person,5,"Employed, full-time",C#;JavaScript,"No, and I don't plan to",Low,Semi Senior
Chile,24696.0,Remote,7,"Employed, full-time",Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,"No, but I plan to soon",Medium,Senior
Chile,64989.0,In-person,12,"Independent contractor, freelancer, or self-employed",HTML/CSS;JavaScript;Python;TypeScript,Yes,High,Senior
Brazil,16112.0,"Hybrid (some remote, some in-person)",8,"Employed, full-time;Independent contractor, freelancer, or self-employed",Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Yes,Low,Senior
Mexico,16173.0,In-person,3,"Employed, full-time",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python,Yes,Low,Semi Senior
Mexico,26954.0,In-person,15,"Employed, full-time;Independent contractor, freelancer, or self-employed",Assembly;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Yes,Medium,Senior
Mexico,1240.0,Remote,Less than 1 year,"Employed, full-time",Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,Yes,Low,Unknown
Brazil,13054.0,"Hybrid (some remote, some in-person)",4,"Employed, full-time;Student, part-time",C#;HTML/CSS;Rust;TypeScript,Yes,Low,Semi Senior
Colombia,7570.0,In-person,1,"Employed, full-time",Bash/Shell (all shells);C#;Java;Python;SQL;TypeScript,Yes,Low,Junior
